AREATYPE, AREA, AREANAME, SOCCODE, SOCTITLE, SOCDESC, EMPLOYMENT,MEAN, MEDIAN, ENTRYWG, EXPERIENCE
01,000036,"New York State", 00-0000,"Total, All Occupations","Total, All Occupations",9541880,82546.81,59959.21,38047.34,104797.57
01,000036,"New York State", 11-0000,"Management Occupations","",642760,185912.33,160736.02,84847.56,236445.22
01,000036,"New York State", 11-1011," Chief Executives","Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body.  Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",7830,349390.26,223383.45,141073.08,453549.36
01,000036,"New York State", 11-1021," General and Operations Managers","Plan, direct, or coordinate the operations of public or private sector organizations.  Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.  Excludes First-Line Supervisors.",210890,172750.73,132400.2,70525.84,223863.18
01,000036,"New York State", 11-1031," Legislators","Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level.  Includes only workers in elected positions.",1440,122566.18,98852.5,43914.41,161892.06
01,000036,"New York State", 11-2011," Advertising and Promotions Managers","Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",3570,236755.88,207941.34,130706.36,289781.14
01,000036,"New York State", 11-2021," Marketing Managers","Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers.  Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied.  Oversee product development or monitor trends that indicate the need for new products and services.",49480,199350.96,175789.04,108962.54,244545.68
01,000036,"New York State", 11-2022," Sales Managers","Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer.  Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives.  Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",35160,256166.22,218325.37,131396.93,318549.84
01,000036,"New York State", 11-2032,"Public Relations Managers","Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",7330,218918.16,177006.2,121331.71,267711.39
01,000036,"New York State", 11-2033,"Fundraising Managers","Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",4280,180140.25,169502.61,111352.04,214534.36
01,000036,"New York State", 11-3012,"Administrative Services Managers","Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services. Medical records administrators are included in Medical and Health Services Managers (11-9111). Excludes Facilities Managers (11-3013) and Purchasing Managers (11-3061).",14140,154139.95,134950.63,88650.79,186885.03
01,000036,"New York State", 11-3013,"Facilities Managers","Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus. Excludes Administrative Services Managers (11-3012), Property, Real Estate, and Community Association Managers (11-9141), First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers (37-1010), First-Line Supervisors of Mechanics and Repairers (49-1011), and Maintenance and Repair Workers, General (49-9071).",9140,143113.22,130421.17,85569.7,171884.97
01,000036,"New York State", 11-3021," Computer and Information Systems Managers","Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.  Excludes Computer Occupations (15-1111 through 15-1199).",40780,226279.16,213876.38,142752.65,268042.41
01,000036,"New York State", 11-3031,"Financial Managers","Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",67510,248775.68,219739.11,134809.05,305760.02
01,000036,"New York State", 11-3051," Industrial Production Managers","Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",6250,142034.58,131031.28,89122.37,168491.19
01,000036,"New York State", 11-3061," Purchasing Managers","Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services.  Includes wholesale or retail trade merchandising managers and procurement managers.",5980,183726.54,168009.42,110578.97,220300.32
01,000036,"New York State", 11-3071,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations.  Includes logistics managers.",6280,137605.96,123563.33,84482.92,164167.49
01,000036,"New York State", 11-3111," Compensation and Benefits Managers","Plan, direct, or coordinate compensation and benefits activities of an organization.  Job analysis and position description managers are included in Human Resource Managers (11-3121).",1760,195347.08,179664.59,123519.54,231260.85
01,000036,"New York State", 11-3121," Human Resources Managers","Plan, direct, or coordinate human resources activities and staff of an organization.  Excludes managers who primarily focus on compensation and benefits (11-3111) and training and development (11-3131).",16720,195602.73,174618.74,111978.44,237415.89
01,000036,"New York State", 11-3131," Training and Development Managers","Plan, direct, or coordinate the training and development activities and staff of an organization.",3380,180066.92,168107.2,106723.79,216737.46
01,000036,"New York State", 11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments.  May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation.  May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.  Excludes First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011).","n/a",86253.14,79577.62,53882.88,102438.78
01,000036,"New York State", 11-9021," Construction Managers","Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems.  Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation.  Includes managers in specialized construction fields, such as carpentry or plumbing.",8170,158652.08,138038.84,91027.05,192464.6
01,000036,"New York State", 11-9031,"Education Administrators, Preschool and Childcare Center/Program","Plan, direct, or coordinate the academic and nonacademic activities of preschool and childcare centers or programs.  Excludes Preschool Teachers (25-2011).",3810,94541.01,81140.06,56445.53,113588.76
01,000036,"New York State", 11-9032,"Education Administrators, Elementary and Secondary School","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of public or private elementary or secondary level schools.",19300,145027.06,140424.27,95664.46,169708.35
01,000036,"New York State", 11-9033," Education Administrators, Postsecondary","Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges.",7340,160765.56,138696.82,97725.99,192284.32
01,000036,"New York State", 11-9039," Education Administrators, All Other","All education administrators not listed separately.",2820,110192.94,95281.49,67813.47,131382.67
01,000036,"New York State", 11-9041," Architectural and Engineering Managers","Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.  Excludes Natural Sciences Managers (11-9121).",7330,188962.86,176748.51,132959.38,216964.6
01,000036,"New York State", 11-9051,"Food Service Managers","Plan, direct, or coordinate activities of an organization or department that serves food and beverages.  Excludes Chefs and Head Cooks (35-1011).",12260,90966.95,81660.54,59966.63,106468.13
01,000036,"New York State", 11-9071," Gaming Managers","Plan, direct, or coordinate gaming operations in a casino.  May formulate house rules.","n/a",103250.56,95892.62,70052.22,119849.73
01,000036,"New York State", 11-9072,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",850,105940.53,99302.69,61620.74,128100.93
01,000036,"New York State", 11-9081,"Lodging Managers","Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.  Excludes Food Service Managers (11-9051) in lodging establishments.",3130,90109.34,78163.89,50917.9,109705.06
01,000036,"New York State", 11-9111," Medical and Health Services Managers","Plan, direct, or coordinate medical  and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",31010,180513.04,152598.89,101535.34,220001.89
01,000036,"New York State", 11-9121," Natural Sciences Managers","Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.  Excludes Architecture and Engineering Managers (11-9041) and Computer and Information Systems Managers (11-3021).",4580,148596.02,133614.3,67626.06,189081.01
01,000036,"New York State", 11-9131,"Postmasters and Mail Superintendents","Plan, direct, or coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",830,97288.02,94954.54,86777.69,102542.67
01,000036,"New York State", 11-9141,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties.  Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",12940,104998.38,78750.57,62884.75,126055.7
01,000036,"New York State", 11-9151," Social and Community Service Managers","Plan, direct, or coordinate the activities of a social service program or community outreach organization.  Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits.  Work may involve directing social workers, counselors, or probation officers.",17850,101896.92,94871.02,66833.63,119428.05
01,000036,"New York State", 11-9161," Emergency Management Directors","Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",750,114955.64,91797.06,66264.27,139301.83
01,000036,"New York State", 11-9171,"Funeral Home Managers","Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes. Excludes Morticians, Undertakers, and Funeral Arrangers (39-4031).",630,103480.75,79601.05,61309.06,124567.61
01,000036,"New York State", 11-9179,"Personal Service Managers, All Other","All personal service managers not listed separately. Excludes Financial Specialists (13-2000). Daycare Managers are included in Education and Childcare Administrators, Preschool and Daycare (11-9031).",380,76170.6,63218.83,38631.24,94941.3
01,000036,"New York State", 11-9199," Managers, All Other","All managers not listed separately.",16640,175708.58,164349.8,98234.24,214444.73
01,000036,"New York State", 13-0000,"Business and Financial Operations Occupations","",710720,116229.83,100668.56,63142.44,142773.02
01,000036,"New York State", 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers.  May handle contract negotiation and other business matters for clients.",2660,155714.61,82983.62,55176.43,205983.7
01,000036,"New York State", 13-1020,"Buyers and Purchasing Agents","This occupation includes the 2018 SOC occupations 13-1021 Buyers and Purchasing Agents, Farm Products; 13-1022 Wholesale and Retail Buyers, Except Farm Products; and 13-1023 Purchasing Agents, Except Wholesale, Retail, and Farm Products.",31440,87872.62,80504.49,55052.16,104283.36
01,000036,"New York State", 13-1031," Claims Adjusters, Examiners, and Investigators","Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures.  Confer with legal counsel on claims requiring litigation.  May also settle insurance claims.  Excludes Fire Inspectors and Investigators (33-2021).",16780,89656.09,83661.97,60848.68,104059.28
01,000036,"New York State", 13-1032," Insurance Appraisers, Auto Damage","Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement.  Prepare insurance forms to indicate repair cost or cost estimates and recommendations.  May seek agreement with automotive repair shop on repair costs.",380,85511.64,80516.72,70011.48,93261.73
01,000036,"New York State", 13-1041," Compliance Officers","Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.  Excludes Financial Examiners (13-2061), Tax Examiners and Collectors, and Revenue Agents (13-2081), Occupational Health and Safety Specialists (29-9011), Occupational Health and Safety Technicians (29-9012), Transportation Security Screeners (33-9093), Agricultural Inspectors (45-2011), Construction and Building Inspectors (47-4011), and Transportation Inspectors (53-6051).",23690,94021.56,88492.91,58178.07,111943.81
01,000036,"New York State", 13-1051," Cost Estimators","Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service.  May specialize according to particular service performed or type of product manufactured.",9790,97353.21,84473.75,58914.47,116573.08
01,000036,"New York State", 13-1071," Human Resources Specialists","Perform activities in the human resource area.  Includes employment specialists who screen, recruit, interview, and place workers.  Excludes Compensation, Benefits, and Job Analysis Specialists (13-1141) and Training and Development Specialists (13-1151).",53030,93189.41,82643.43,56825.44,111371.39
01,000036,"New York State", 13-1075," Labor Relations Specialists","Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.  Excludes equal employment opportunity (EEO) officers who are included in Compliance Officers (13-1041).",6990,111936.68,100022.8,67299.11,134254.96
01,000036,"New York State", 13-1081," Logisticians","Analyze and coordinate the logistical functions of a firm or organization.  Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.  Excludes Transportation, Storage, and Distribution Managers (11-3071).",6560,95563.63,84610.23,61159.34,112765.78
01,000036,"New York State", 13-1082,"Project Management Specialists","Analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis. Lead and guide the work of technical staff. May serve as a point of contact for the client or customer. Excludes Management Occupations (11-0000), Logisticians (13-1081), Meeting, Convention, and Event Planners (13-1121), and Production, Planning, and Expediting Clerks (43-5061).",68340,123281.2,112536.6,76304.03,146768.76
01,000036,"New York State", 13-1111," Management Analysts","Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively.  Includes program analysts and management consultants.  Excludes Computer Systems Analysts (15-1121) and Operations Research Analysts (15-2031).",65390,126815.54,108909.58,70109.26,155169.69
01,000036,"New York State", 13-1121," Meeting, Convention, and Event Planners","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.",11720,88611.07,74584.73,48219.79,108805.69
01,000036,"New York State", 13-1131," Fundraisers","Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization.  May design and produce promotional materials.  May also raise awareness of the organization's work, goals, and financial needs.",11380,83876.89,78912.51,54137.51,98746.57
01,000036,"New York State", 13-1141,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer.  May specialize in specific areas, such as position classification and pension programs.",9280,93236.26,83474.56,61743.98,108982.91
01,000036,"New York State", 13-1151," Training and Development Specialists","Design and conduct training and development programs to improve individual and organizational performance.  May analyze training needs.",25510,80827.37,74910.67,45792.6,98345.27
01,000036,"New York State", 13-1161,"Market Research Analysts and Marketing Specialists","Research market conditions in local, regional, or national areas, or gather information to determine potential sales of a product or service, or create a marketing campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution.",75100,101501.73,93546.92,59805.7,122350.25
01,000036,"New York State", 13-1199," Business Operations Specialists, All Other","All business operations specialists not listed separately.",31170,96238.92,85872.21,54286.22,117214.76
01,000036,"New York State", 13-2011," Accountants and Auditors","Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others.  Install or advise on systems of recording costs or other financial and budgetary data.  Excludes Tax Examiners and Collectors, and Revenue Agents (13-2081).",111860,117627.27,103671.22,69513.41,141684.2
01,000036,"New York State", 13-2020,"Appraisers and Assessors of Real Estate","This occupation includes the 2018 SOC occupations 13-2022 Appraisers of Personal and Business Property and 13-2023 Appraisers and Assessors of Real Estate.",3280,89802.76,79127.43,54509.28,107450.01
01,000036,"New York State", 13-2031," Budget Analysts","Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations.  Analyze budgeting and accounting reports.",2740,95947.62,87912.35,66164.45,110838.69
01,000036,"New York State", 13-2041," Credit Analysts","Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money.  Prepare reports with credit information for use in decision making.",7900,149901.79,135145.17,83540.77,183081.8
01,000036,"New York State", 13-2051," Financial Analysts","Conduct quantitative analyses of information affecting investment programs of public or private institutions.",47130,149991.43,128925.95,86765.47,181603.9
01,000036,"New York State", 13-2052," Personal Financial Advisors","Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate.  Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives.",28820,230121.1,171085.42,83655.86,303354.22
01,000036,"New York State", 13-2053," Insurance Underwriters","Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.",7530,100007.53,85529.98,57772.69,121124.94
01,000036,"New York State", 13-2054,"Financial Risk Specialists","Analyze and measure exposure to credit and market risk threatening the assets, earning capacity, or economic state of an organization. May make recommendations to limit risk. Excludes Credit Analysts (13-2041).",10980,158142.81,140897.89,93916.65,190255.39
01,000036,"New York State", 13-2061," Financial Examiners","Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions.  May examine, verify, or authenticate records.",10580,140626.96,129552.36,80607.37,170636.24
01,000036,"New York State", 13-2071," Credit Counselors","Advise and educate individuals or organizations on acquiring and managing debt.  May provide guidance in determining the best type of loan and explaining loan requirements or restrictions.  May help develop debt management plans, advise on credit issues, or provide budget, mortgage, and bankruptcy counseling.",1760,69246.56,63244.29,50571.6,78583.53
01,000036,"New York State", 13-2072," Loan Officers","Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans.  Advise borrowers on financial status and payment methods.  Includes mortgage loan officers and agents, collection analysts, loan servicing officers, and loan underwriters.",11850,124439.28,100769.39,57801.21,157757.8
01,000036,"New York State", 13-2081," Tax Examiners and Collectors, and Revenue Agents","Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.",3430,79845.5,72349.03,51408.84,94064.34
01,000036,"New York State", 13-2082,"Tax Preparers","Prepare tax returns for individuals or small businesses.  Excludes Accountants and Auditors (13-2011).",6880,75935.32,74583.71,44779.15,91512.89
01,000036,"New York State", 13-2099," Financial Specialists, All Other","All financial specialists not listed separately.",6760,167028.57,124776.42,74154.91,213465.91
01,000036,"New York State", 15-0000,"Computer and Mathematical Occupations","",299980,131038.03,122709.68,68460.34,162327.91
01,000036,"New York State", 15-1211,"Computer Systems Analysts","Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",20950,118382.18,108477.11,74647.03,140250.78
01,000036,"New York State", 15-1212,"Information Security Analysts","Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses. Excludes Computer Network Architects (15-1241).",8860,143333.34,134661.91,88588.9,170705.56
01,000036,"New York State", 15-1221,"Computer and Information Research Scientists","Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",1320,207271.02,202751.44,117734.03,252039.51
01,000036,"New York State", 15-1231,"Computer Network Support Specialists","Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption. Excludes Computer Network Architects (15-1241) and Network and Computer Systems Administrators (15-1244).",6450,87059.44,80544.05,56973.41,102102.45
01,000036,"New York State", 15-1232,"Computer User Support Specialists","Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems. Excludes Network and Computer Systems Administrators (15-1244).",41260,72334.85,65649.98,46001.11,85502.24
01,000036,"New York State", 15-1241,"Computer Network Architects","Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software. Excludes Information Security Analysts (15-1212), Computer Network Support Specialists (15-1231), and Network and Computer Systems Administrators (15-1244).",9180,148851.34,139931.33,95959.93,175297.05
01,000036,"New York State", 15-1242,"Database Administrators","Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases. Excludes Information Security Analysts (15-1212) and Database Architects (15-1243).",3680,116139.85,109844.28,69648.78,139385.9
01,000036,"New York State", 15-1243,"Database Architects","Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality. Excludes Database Administrators (15-1242).",4180,141589.2,131755,90162.54,167302.53
01,000036,"New York State", 15-1244,"Network and Computer Systems Administrators","Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software. Excludes Information Security Analysts (15-1212), Computer Network Support Specialists (15-1231), and Computer User Support Specialists (15-1232).",19770,114469.66,106873.69,74681.95,134364.03
01,000036,"New York State", 15-1251,"Computer Programmers","Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",7090,111872.96,103134.76,68799.31,133409.78
01,000036,"New York State", 15-1252,"Software Developers","Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",104130,164332.96,165641.58,100820.53,196089.17
01,000036,"New York State", 15-1253,"Software Quality Assurance Analysts and Testers","Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",11140,123630.03,111754.83,73803.71,148544.21
01,000036,"New York State", 15-1254,"Web Developers","Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications. Excludes Special Effects Artists and Animators (27-1014).",6340,81530.14,69228.67,40709.09,101941.18
01,000036,"New York State", 15-1255,"Web and Digital Interface Designers","Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links. Excludes Special Effects Artists and Animators (27-1014) and Graphic Designers (27-1024).",14840,128674.5,125005.42,66640.18,159692.17
01,000036,"New York State", 15-1299,"Computer Occupations, All Other","All computer occupations not listed separately. Excludes Computer and Information Systems Managers (11-3021), Computer Hardware Engineers (17-2061), Electrical and Electronics Engineers (17-2070), Computer Science Teachers, Postsecondary (25-1021), Special Effects Artists and Animators (27-1014), Graphic Designers (27-1024), Health Information Technologists and Medical Registrars (29-9021), and Computer, Automated Teller, and Office Machine Repairers (49-2011).",9860,118196.26,108065.21,62301.38,146143.7
01,000036,"New York State", 15-2011," Actuaries","Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits.  May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",3090,156612.69,137361.33,88113.32,190861.86
01,000036,"New York State", 15-2021," Mathematicians","Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields.  Solve problems in various fields using mathematical methods.","n/a",126543.1,101302.28,83189.03,148220.65
01,000036,"New York State", 15-2031," Operations Research Analysts","Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decision making, policy formulation, or other managerial functions.  May collect and analyze data and develop decision support software, service, or products.  May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",6020,120293.76,112416.33,64873.43,148003.92
01,000036,"New York State", 15-2041," Statisticians","Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information.  May specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics.  Includes mathematical and survey statisticians.  Excludes Survey Researchers (19-3022).",1490,151482.97,154326.19,85431.36,184508.77
01,000036,"New York State", 15-2051,"Data Scientists","Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports. Excludes Statisticians (15-2041), Cartographers and Photogrammetrists (17-1021), and Health Information Technologists and Medical Registrars (29-9021).",20070,137081.94,128808.03,74616.21,168314.29
01,000036,"New York State", 15-2099," Mathematical Science Occupations, All Other","All mathematical scientists not listed separately.","n/a",111172.42,89370.59,43718.72,144899.79
01,000036,"New York State", 17-0000,"Architecture and Engineering Occupations","",106090,106615.86,98839.11,65792.76,127027.93
01,000036,"New York State", 17-1011," Architects, Except Landscape and Naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.  Excludes Landscape Architects (17-1012) and Marine Engineers and Naval Architects (17-2121).",10930,116178.89,101261.19,68341.19,140097.74
01,000036,"New York State", 17-1012," Landscape Architects","Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.","n/a",98290.59,92385.35,69003.71,112934.03
01,000036,"New York State", 17-1021," Cartographers and Photogrammetrists","Collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.  Research, study, and prepare maps and other spatial data in digital or graphic form for legal, social, political, educational, and design purposes.  May work with Geographic Information Systems (GIS).  May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems.","n/a",96305.06,95562.41,71917.82,108499.71
01,000036,"New York State", 17-1022," Surveyors","Make exact measurements and determine property boundaries.  Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",1570,88368.06,81194.25,57749.96,103677.11
01,000036,"New York State", 17-2011," Aerospace Engineers","Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft.  May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture.  May recommend improvements in testing equipment and techniques.",730,134596.17,128669.36,91316.06,156236.74
01,000036,"New York State", 17-2021," Agricultural Engineers","Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.","n/a",77287.9,69171.14,60351.8,85755.95
01,000036,"New York State", 17-2031," Biomedical Engineers","Apply knowledge of engineering, biology, and biomechanical principles to the design, development, and evaluation of biological and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and heath management and care delivery systems.",920,125170.79,120363.61,84721.58,145394.89
01,000036,"New York State", 17-2041,"Chemical Engineers","Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",560,125121.49,136080.44,85112.94,145125.77
01,000036,"New York State", 17-2051," Civil Engineers","Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures, and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.  Includes architectural, structural, traffic, ocean, and geo-technical engineers.  Excludes Hydrologists (19-2043).",17000,119796.6,105221.99,78194.9,140597.97
01,000036,"New York State", 17-2061," Computer Hardware Engineers","Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use.  May supervise the manufacturing and installation of computer or computer-related equipment and components.  Excludes Software Developers, Applications (15-1132) and Software Developers, Systems Software (15-1133).",2500,150878.99,145634.22,96240.35,178197.79
